TRAIN_LOSS,TEST_HR_ALL,TEST_HR_UNSEEN
125.1128,0.7111,0.4800
124.9349,0.7111,0.4800
124.7577,0.7122,0.4800
124.5812,0.7122,0.4800
124.4052,0.7133,0.4800
124.2301,0.7133,0.4800
124.0555,0.7133,0.4800
123.8815,0.7122,0.4700
123.7082,0.7122,0.4700
123.5355,0.7122,0.4700
123.3633,0.7122,0.4700
123.1918,0.7122,0.4700
123.0208,0.7122,0.4700
122.8504,0.7122,0.4700
122.6805,0.7122,0.4700
122.5113,0.7111,0.4700
122.3424,0.7111,0.4700
122.1743,0.7111,0.4700
122.0066,0.7111,0.4700
121.8394,0.7100,0.4700
121.6729,0.7111,0.4700
121.5067,0.7111,0.4700
121.3410,0.7111,0.4700
121.1759,0.7111,0.4700
121.0113,0.7111,0.4700
120.8471,0.7111,0.4700
120.6833,0.7111,0.4700
120.5202,0.7122,0.4700
120.3574,0.7122,0.4700
120.1950,0.7122,0.4700
120.0333,0.7122,0.4700
119.8717,0.7122,0.4700
119.7107,0.7122,0.4700
119.5502,0.7122,0.4700
119.3899,0.7122,0.4700
119.2302,0.7122,0.4700
119.0709,0.7133,0.4700
118.9120,0.7133,0.4700
118.7535,0.7133,0.4700
118.5954,0.7133,0.4700
118.4376,0.7133,0.4700
118.2803,0.7133,0.4700
118.1234,0.7133,0.4700
117.9668,0.7133,0.4700
117.8105,0.7133,0.4700
117.6547,0.7144,0.4800
117.4992,0.7144,0.4800
117.3441,0.7122,0.4800
117.1893,0.7122,0.4800
117.0349,0.7122,0.4800
116.8808,0.7122,0.4800
116.7271,0.7122,0.4800
116.5737,0.7133,0.4800
116.4206,0.7133,0.4800
116.2679,0.7133,0.4800
116.1155,0.7133,0.4800
115.9635,0.7133,0.4800
115.8117,0.7133,0.4800
115.6602,0.7133,0.4800
115.5091,0.7133,0.4800
115.3582,0.7133,0.4800
115.2077,0.7133,0.4800
115.0575,0.7133,0.4800
114.9075,0.7133,0.4800
114.7579,0.7133,0.4800
114.6085,0.7133,0.4800
114.4596,0.7133,0.4800
114.3107,0.7133,0.4800
114.1622,0.7133,0.4800
114.0140,0.7133,0.4800
113.8661,0.7133,0.4800
113.7186,0.7133,0.4800
113.5712,0.7144,0.4800
113.4241,0.7144,0.4800
113.2772,0.7156,0.4800
113.1307,0.7156,0.4800
112.9844,0.7144,0.4800
